,lemma,pos,freq
247,uitroepteken,VERB,41
248,vraagteken,NOUN,203
249,miljarde,ADJ,1
250,soort,NOUN,3957
251,veel,DET,18073
252,kat,NOUN,2000
253,dolfijn,NOUN,468
254,zoogdier,NOUN,172
255,vis,VERB,104
256,eend,NOUN,308
257,landdiear,NOUN,3
258,springdieren,NOUN,1
259,enzovoort,CCONJ,884
260,zien,VERB,19130
261,sommig,DET,5711
262,zee,NOUN,983
263,ander,ADJ,14340
264,land,NOUN,3205
265,lucht,NOUN,1738
266,plek,NOUN,1423
267,al,DET,5243
268,leven,NOUN,3213
269,één,NUM,6981
270,veel,PRON,11602
271,dan,SCONJ,9223
272,mens,NOUN,19208
273,lievelingsdier/dieren,VERB,1
274,bijvoorbeeld,ADV,7855
275,één,PROPN,257
276,daarom,ADV,4720
277,opnoemen,VERB,116
278,opschrijven,VERB,380
279,uitkijken,VERB,247
280,aantal,NOUN,152
281,jaar,NOUN,7680
282,houden,VERB,6893
283,weer,ADV,15986
284,zoeken,VERB,3373
285,erg,ADJ,10562
286,of,SCONJ,6718
287,schoon,ADJ,531
288,hokk,NOUN,2198
289,gelijk,NOUN,449
290,taalles,NOUN,21
291,spellingless,NOUN,4
292,typen,VERB,1879
293,super,ADV,476
294,smstaal,NOUN,530
295,gebruiken,VERB,5079
296,beetje,NOUN,4437
297,beperken,VERB,9
298,verleer,VERB,21
299,gewoon,ADJ,12417
300,nodig,ADJ,4458
301,keuze,NOUN,159
302,kind,NOUN,23716
303,willen,VERB,23448
304,hun,PRON,10959
305,eigen,ADJ,2561
306,schuld,NOUN,203
307,ongeluk,NOUN,765
308,gebeuren,VERB,3278
309,dorp,NOUN,653
310,Twijzel,PROPN,6
311,zullen,AUX,11430
312,enkel,DET,93
313,kear,NOUN,1
314,door,ADP,10993
315,luidspreker,NOUN,13
316,',PUNCT,9056
317,dug-out,NOUN,30
318,toch,ADV,7240
319,fout,NOUN,1324
320,21,NUM,182
321,mei,PROPN,354
322,sportpark,NOUN,10
323,De,DET,52
324,Moune,PROPN,2
325,rond,ADP,1275
326,15.30,NUM,11
327,inzakken,VERB,5
328,raken,VERB,1628
329,gewond,ADJ,369
330,meisje,NOUN,3528
331,overlijden,VERB,292
332,tijd,NOUN,4940
333,haar,PRON,10127
334,verwonding,NOUN,26
335,gisteravond,ADV,46
336,ziekenhuis,NOUN,649
337,zitten,VERB,28872
338,groep,NOUN,8887
339,6,NUM,1837
340,lichtgewond,VERB,2
341,onder,ADP,2590
342,voorronde,NOUN,10
343,jaarlijks,ADJ,11
344,Fries,ADJ,38
345,kampioenschap,NOUN,40
346,schoolkorfbal,NOUN,1
347,betrekken,VERB,13
348,opvangen,VERB,58
349,dorpshuis,NOUN,2
350,speciaal,ADJ,609
351,informatienummer,NOUN,1
352,openen,VERB,166
353,politie,NOUN,2115
354,onderzoek,NOUN,231
355,instorten,VERB,45
356,blaffen,VERB,2149
357,waakhond,NOUN,232
358,blindengeleidenhond,NOUN,2
359,huisdier,NOUN,1114
360,blindengeleidehonden,NOUN,5
361,helpen,VERB,2612
362,blind,ADJ,307
363,Honden,NOUN,2128
364,druk,ADJ,1180
365,kooi,NOUN,2243
366,jagen,VERB,1146
367,terug,ADV,4841
368,weten,VERB,15208
369,hoe,ADV,8756
370,probleem,NOUN,864
371,voedsel,NOUN,562
372,dood,ADJ,3026
373,verhongeren,VERB,52
374,zoiets,PRON,301
375,savanne/noord/zuidpool/jungle,NOUN,1
376,doden,VERB,157
377,verwonden,VERB,20
378,dieren,NOUN,992
379,ruimte,NOUN,1603
380,ding,NOUN,9546
381,leren,VERB,8866
382,opgroeien,VERB,24
383,zo'n,DET,1512
384,paardrijden,VERB,724
385,wei,NOUN,210
386,mening,NOUN,1960
387,laten,VERB,6343
388,rust,NOUN,476
389,Alex,PROPN,153
390,zeventienjarig,ADJ,2
391,jongen,NOUN,4180
392,net,ADV,4404
393,brommerexam,NOUN,2
394,halen,VERB,4169
395,brommer,NOUN,118
396,huis,NOUN,12454
397,achteraf,ADV,10
398,langs,ADP,1250
399,koei,NOUN,320
400,al,ADV,12291
401,koe,NOUN,253
402,besluit,VERB,12
403,hem,PRON,13010
404,rijden,VERB,3612
405,…,SYM,301
406,..,SYM,96
407,komen,VERB,27498
408,boer,NOUN,382
409,eraan,ADV,940
410,Wegwezen,VERB,4
411,uit,ADP,16439
412,volgen,VERB,4052
413,elk,DET,4344
414,stuk,NOUN,3174
415,ver,ADJ,4194
416,zet,VERB,1158
417,voet,NOUN,1115
418,pedaal,NOUN,5
419,vol,ADJ,719
420,gas,NOUN,131
421,weiland,NOUN,175
422,kunnen,VERB,6407
423,overeenkomen,VERB,9
424,vallen,VERB,5827
425,rent,VERB,125
426,ernaartoe,PROPN,291
427,koeienpoep,NOUN,4
428,gezicht,NOUN,545
429,helemaal,ADV,4858
430,omdat,SCONJ,23961
431,bijten,VERB,1505
432,rennen,VERB,4973
433,hard,ADJ,4684
434,bang,ADJ,2455
435,ananas,NOUN,1715
436,leggen,VERB,3295
437,broodje,NOUN,412
438,Leg,VERB,823
439,kaas,NOUN,1904
440,doe,VERB,1697
441,boter,NOUN,1391
442,pan.,NOUN,1005
443,Erna,PROPN,20
444,smelten,VERB,542
445,brood,NOUN,2750
446,pan,NOUN,1347
447,waar,ADV,8451
448,deksel,NOUN,861
449,voilànen,VERB,2
450,klaar,ADJ,3680
451,lekker,ADJ,10274
452,smullen,VERB,440
453,waarom,ADV,4400
454,?,PUNCT,25219
455,kwijt,ADJ,1897
456,worden,VERB,10331
457,nummer,NOUN,820
458,kinder,NOUN,20
459,pakken,VERB,4309
460,mobiel,ADJ,3351
461,belgeluid,NOUN,1
462,klas,NOUN,3356
463,Pestkoppen,NOUN,5
464,plagen,VERB,133
465,kapot,ADJ,2103
466,juf,NOUN,2889
467,offie,NOUN,2
468,tegen,ADP,7632
469,licht,NOUN,798
470,zeiden,VERB,1316
471,verhaal,NOUN,3472
472,nou,ADV,5701
473,dierentuin,NOUN,10761
474,te,ADV,7022
475,overdreven,ADJ,157
476,Nederland,PROPN,2585
477,superklein,NOUN,18
478,erin,ADV,1454
479,proppen,VERB,31
480,jong,NOUN,35
481,blijven,VERB,7276
482,Winter,PROPN,38
483,winter,NOUN,1001
484,sneeuw,NOUN,638
485,daarmee,ADV,489
486,sneeuwpop,NOUN,302
487,Lente,NOUN,61
488,lente,NOUN,645
489,bloeien,VERB,44
490,mooi,ADJ,7821
491,bloemet,NOUN,58
492,jong,ADJ,2362
493,geboren,VERB,913
494,Zomer,PROPN,11
495,zomer,NOUN,1152
496,bloedheet,NOUN,16
497,zwemmen,VERB,3731
498,plas,NOUN,733
499,grond,NOUN,1607
500,uitgegleden,VERB,8
501,fiets,NOUN,4292
502,meenemen,VERB,1378
503,haken,VERB,151
504,Wim,PROPN,3824
505,schoen,NOUN,1671
506,T-shirt,NOUN,881
507,broek,NOUN,585
508,lopen,VERB,9706
509,scheur,NOUN,545
510,nat,ADJ,1491
511,fietsen,VERB,2762
512,dat,DET,4226
513,drogen,VERB,47
514,bloed,NOUN,527
515,schaafwond,NOUN,55
516,blij,ADJ,3693
517,knutselden,VERB,22
518,graag,ADV,4439
519,me,PRON,6237
520,knuffel,NOUN,564
521,kassaa,NOUN,3
522,tekenden,VERB,9
523,barbie,NOUN,180
524,Xbox,PROPN,498
525,konijn,NOUN,1444
526,hut,NOUN,885
527,bouwen,VERB,2046
528,alles,PRON,6659
529,opruimen,VERB,870
530,ziten,VERB,9
531,boot,NOUN,1196
532,varen,VERB,360
533,dansspel,NOUN,3
534,Computeren,PROPN,166
535,gamen,VERB,1894
536,sporten,VERB,928
537,noemen,VERB,1400
538,Gamen,VERB,114
539,verbieden,VERB,480
540,hoeven,VERB,3523
541,sport,NOUN,1958
542,saai,ADJ,2093
543,computeren,VERB,1461
544,graan,NOUN,102
545,platdrukken,VERB,1
546,ge,PROPN,37
547,bakken,VERB,508
548,bakker,NOUN,137
549,toe,ADP,3354
550,belangrijk,ADJ,2430
551,zodat,SCONJ,1203
552,vreemd,ADJ,792
553,hoeveel,NUM,336
554,welk,DET,912
555,buurt,NOUN,774
556,wel/niet,PRON,3
557,een,PRON,1220
558,kant,NOUN,2612
559,natuur,NOUN,2717
560,meedoen,VERB,838
561,allerliefst,ADJ,46
562,tante,NOUN,1497
563,pop,NOUN,1045
564,lief,ADJ,7613
565,chocola,NOUN,196
566,kleur,NOUN,1766
567,stoel,NOUN,969
568,ineens,ADV,1139
569,iets,PRON,9404
570,zeilboot,NOUN,18
571,vertrekken,VERB,464
572,bewegen,VERB,1458
573,vin,NOUN,24
574,kop,NOUN,804
575,achter,ADP,8092
576,warm,ADJ,2061
577,toen,SCONJ,11392
578,aankwamen,VERB,193
579,41,NUM,13
580,°,SYM,477
581,C,NOUN,444
582,dus,CCONJ,2150
583,huisje,NOUN,254
584,vier,NOUN,98
585,Tim,PROPN,751
586,Maareen,PROPN,1
587,Eric,PROPN,14
588,zwembad,NOUN,2073
589,ontmoeten,VERB,311
590,Rosalie,PROPN,22
591,Robin,PROPN,241
592,vriend,NOUN,10278
593,22:00,NUM,8
594,aanleggen,VERB,51
595,(,PUNCT,6787
596,kaartspel,NOUN,9
597,),PUNCT,6730
598,kaart,NOUN,793
599,totaal,NOUN,104
600,€,PROPN,41
601,"50,00",NUM,1
602,verdienen,VERB,830
603,portomenee,NOUN,1
604,kortom,ADV,167
605,vakantie,NOUN,3571
606,ooit,ADV,725
607,wakker,ADJ,2619
608,vroeg,VERB,158
609,ochtend,NOUN,1364
610,vader,NOUN,7166
611,trekken,VERB,1071
612,oh,INTJ,246
613,jarig,ADJ,1359
614,vandaag,ADV,1824
615,school,NOUN,12905
616,trakteren,VERB,59
617,chips,NOUN,260
618,neef,NOUN,968
619,onverwachts,ADJ,13
620,kiezen,VERB,1574
621,buur,NOUN,403
622,bezoek,NOUN,321
623,die,DET,13829
624,paar,NOUN,4130
625,kinderfees,NOUN,84
626,Gijs,PROPN,173
627,Eef,PROPN,32
628,wachten,VERB,3186
629,tot,ADP,3973
630,plots,ADJ,58
631,boem,NOUN,235
632,zwart,ADJ,2173
633,piet,NOUN,958
634,stoer,ADJ,418
635,zak,NOUN,884
636,zakk,NOUN,12
637,snoep,NOUN,1496
638,Sinterklaas,PROPN,3324
639,buitenspelen,VERB,659
640,gezond,ADJ,3440
641,dat.,PRON,75
642,natuurlijk,ADJ,4251
643,computer,NOUN,10328
644,verslaafd,ADJ,522
645,regenen,VERB,2397
646,Buitenspelen,VERB,150
647,voetballen,VERB,4730
648,tikker,NOUN,731
649,Kind,NOUN,482
650,Gezonder,NOUN,3
651,buitenspelen,NOUN,27
652,online,ADJ,520
653,elkaar,PRON,3610
654,zorgen,VERB,1337
655,wandelen,VERB,1305
656,roepen,VERB,2506
657,er,PRON,2843
658,achteraan,ADP,194
659,bureau,NOUN,219
660,vuur,NOUN,697
661,Marjolein,PROPN,30
662,Faye,PROPN,34
663,ouder,NOUN,4677
664,broer,NOUN,4789
665,Disneyland,PROPN,118
666,Parijs,PROPN,278
667,vragen,VERB,5191
668,wanneer,ADV,360
669,mama,NOUN,5467
670,lieverd,VERB,28
671,familie,NOUN,2609
672,Peters,PROPN,26
673,raam,NOUN,1428
674,hè,INTJ,851
675,eindelijk,ADJ,1357
676,ren,VERB,223
677,oprit,NOUN,10
678,auto,NOUN,3949
679,meid,NOUN,442
680,renden,VERB,482
681,handtekening,NOUN,123
682,zoveel,NUM,1066
683,attractie,NOUN,367
684,uiteindelijk,ADJ,1049
685,superreis,NOUN,1
686,disneyland,PROPN,2
687,handig,ADJ,2606
688,verdwalen,VERB,565
689,bellen,VERB,4761
690,hen,PRON,912
691,sommig,PRON,1632
692,mobiel,NOUN,1715
693,restaurant,NOUN,527
694,helft,NOUN,626
695,gourmetstellen,NOUN,1
696,buffet,NOUN,26
697,lijken,VERB,2723
698,terugkoken,VERB,1
699,dj,ADV,20
700,muziek,NOUN,995
701,optreden,VERB,412
702,korten,VERB,25
703,af,ADP,4692
704,afkorting,NOUN,3706
705,alsnog,ADV,206
706,woord,NOUN,4365
707,fijn,ADJ,3704
708,onzin,NOUN,592
709,overmaken,VERB,40
710,beslissen,VERB,214
711,jij,PRON,4180
712,poepen,VERB,1917
713,plassen,VERB,1251
714,allebei,DET,43
715,Gabriel,PROPN,10
716,best,ADJ,4410
717,sowieso,NOUN,121
718,gemiddeld,ADJ,71
719,elektro-,SYM,1
720,Nica,PROPN,1
721,uitzonderen,VERB,1
722,tv,NOUN,2273
723,zoals,SCONJ,8048
724,xbox,PROPN,11
725,playstation,SYM,50
726,tablet,NOUN,1146
727,ikzelf,PRON,449
728,ongeveer,ADV,1309
729,1/2,NUM,69
730,per,ADP,2364
731,reactiesnelheid,NOUN,1
732,snel,ADJ,8272
733,verkleinen,VERB,8
734,sociaal,ADJ,99
735,gedrag,NOUN,73
736,fik,NOUN,70
737,redden,VERB,650
738,game,NOUN,886
739,alleen,ADV,10722
740,multiplayer,PROPN,12
