pos,freq
PRON,130449
NOUN,129894
VERB,128564
PUNCT,106475
ADV,95465
ADP,77397
DET,69807
ADJ,63576
CCONJ,59368
AUX,54221
PROPN,25194
SCONJ,20756
NUM,9061
SYM,4413
INTJ,2959
X,233
