pos,freq
ADP,44
NOUN,69
DET,38
ADJ,35
PART,14
PROPN,20
CCONJ,17
ADV,25
AUX,33
PUNCT,58
PRON,32
VERB,41
NUM,7
SCONJ,5
INTJ,2
X,2
SYM,1
