pos,freq
NOUN,706369
AUX,310434
ADP,495117
DET,439616
PROPN,199470
VERB,646797
PRON,750105
INTJ,435307
PUNCT,707002
SCONJ,127454
ADJ,384208
ADV,780888
CCONJ,246274
NUM,58359
SYM,101019
X,10832
SPACE,15
