lemma1,lemma2,freq
die,hebben,1867
hond,hebben,3875
politie,gaan,53
vriend,roepen,10
hij,horen,530
hond,beginnen,26
vuur,zien,12
Marjolein,gaan,2
Marjolein,vragen,4
mama,zeggen,605
familie,komen,84
Marjolein,ren,1
jongen,gaan,145
meid,gaan,24
ander,auto,24
laat,uur,20
mama,zijn,49
ja,zeggen,210
beetje,zien,7
klein,beetje,250
we,renden,136
boek,halen,12
we,kunnen,260
handtekening,kunnen,2
ze,bellen,1375
ze,verdwalen,147
dat,weten,1003
sommig,bellen,2
ander,bellen,2
ik,zeggen,3762
ik,willen,10596
restaurant,hebben,19
eigen,restaurant,6
het,worden,1516
muziek,vinden,27
kind,korten,3
ding,korten,1
afkorting,leren,83
ze,gebruiken,783
ander,afkorting,13
woord,typen,154
lang,woord,144
je,overmaken,7
eigen,keuze,51
je,kijken,795
wat,doen,3810
jij,doen,222
fout,doen,168
mens,zitten,546
vogel,poepen,470
tv,uitzonderen,1
ikzelf,doen,38
uur,doen,25
kant,zijn,19
gamen,maken,3
reactiesnelheid,maken,1
het,verkleinen,2
je,verkleinen,3
gedrag,verkleinen,1
sociaal,gedrag,2
gamen,redden,1
game,hebben,39
multiplayer,hebben,2
minigame,hebben,1
die,doen,1170
leven,hebben,647
je,oprichten,3
clan,oprichten,2
elkaar,helpen,14
ander,ding,980
ik,blijf,20
game,redden,1
pony,voeren,2
we,draven,5
pony,vinden,15
je,willen,3062
filmp,maken,46
we,stelen,12
ons,stelen,3
we,zeiden,91
we,gingen,62
we,stopten,6
filmp,stopten,1
ander,groep,106
die,gaan,1308
ander,verhaal,66
die,lezen,55
u,lezen,9
keer,lezen,7
lente,doen,1
ding,doen,2239
paashaas,komen,24
paaseier,zoeken,74
leuk,ding,1204
we,zitten,866
dompsie,zeggen,2
dat,duren,269
we,vliegen,81
ik,leven,108
geheim,man,5
dompsie,vinden,1
opblaasboo,vinden,1
hij,zwom,29
hij,aankomen,69
wat,zeggen,887
ik,komen,2219
ik,regelen,24
helikopter,regelen,1
ik,prutsen,2
ze,verzorgen,1238
je,vraag,15
je,weten,2795
dier,hebben,1715
vogelgriep,komen,1
ze,denken,965
Vogels,hebben,259
het,komen,522
vogel,worden,33
we,komen,1208
boerderij,sluiten,1
we,doen,2679
iets,doen,1432
leuk,kunst,67
aardig,baas,3
het,uitmaken,228
dier,uitmaken,90
niks,uitmaken,86
professioneel,circus,1
dat,werken,77
het,weten,1717
dier,verzorgen,628
ze,eten,2472
kooi,hebben,149
luxe,kooi,1
ze,behandelen,522
het,denken,234
hok,hebben,776
fijn,hok,273
je,geven,898
geld,geven,277
goed,doel,144
je,overhouden,5
geld,overhouden,1
eten,kopen,49
muziek,draaien,10
ze,raken,459
wat,willen,1021
vriend,maken,483
die,vertrouwen,9
gamerug,krijgen,1
oog,krijgen,182
ik,lakken,4
nagel,lakken,25
beautykiste,hebben,1
nagellak,zitten,3
en,zitten,4
nagelremover,zitten,1
wat,zitten,219
zomerkleurt,zitten,1
klein,beautykist,1
groot,kleur,1
donker,kleur,7
mens,willen,242
kleur,willen,4
licht,kleur,3
iedereen,meenemen,13
iets,meenemen,22
bloem,groeien,33
boyes,groeien,1
dag,worden,17
Pasen,zoeken,3
mooi,weer,539
Schilderen,doen,2
Jezus,opgestaan,17
Jezus,maken,5
die,opstaan,7
iedereen,geloven,5
sommig,geloven,4
ik,verveelen,125
me.,verveelen,4
krant,lezen,25
ik,rende,168
het,beginnen,647
ik,moeten,1312
ik,rennen,380
het,laten,314
het,kunnen,1199
ik,roepen,310
we,rijden,294
zin,hebben,1681
we,stappen,108
meneer,staan,16
meneer,groet,1
meneer,zeggen,178
ik,huilen,144
ze,zeggen,2145
ik,vertellen,732
verhaal,vertellen,311
we,lopen,558
ik,houd,23
ik,houden,3526
ik,spelen,2200
ik,drinken,100
ik,knutselen,49
vogel,eten,1149
motor,hebben,789
vogel,veren,56
raamp,hebben,53
vogel,leggen,436
eit,leggen,103
klein,komen,4
vliegtuig,leggen,156
baby,komen,32
vliegtuig,komen,48
vliegtuig,maken,313
vogel,hebben,2315
vliegtuig,besturen,293
verschillen,zijn,38
veel,verschillen,29
hobby,paardrijden,63
ik,kunnen,1395
paardrijden,kunnen,5
ik,galopperen,8
wedstrijd,rijden,24
twee,keuze,3
één,keuze,1
ik,kennen,694
paard,kennen,4
ik,opnoemen,66
je,zitten,3431
vogel,bewegen,173
vleugel,bewegen,250
vliegtuig,bewegen,81
brandstof,hebben,47
landingsgestel,hebben,7
vogel,poten,137
vliegtuig,veren,2
snavel,hebben,532
nest,hebben,90
oog,hebben,609
propeller,hebben,64
vogel,staan,52
vogel,zitten,275
groot,huis,259
huis,maak,9
modern,huis,4
vrouw,hebben,75
Boskat,hebben,1
Landsheez,hebben,1
heeeeeeeeeel,hond,1
lief,hond,230
ik,wonen,758
prachtig,uitzicht,7
privéjacht,hebben,1
heel,privéjacht,1
mooi,privéjacht,1
zij,tijdlopen,1
ik,tijdlopen,1
heeeeeeeeeeel,hond,1
die,vinden,1295
je,vinden,1250
vuursalamander,hebben,1
vogel,keken,2
blauw,hemel,2
vliegtuig,vliegen,854
snelheid,maken,5
hoog,snelheid,6
vogel,proberen,6
het,proberen,175
iets,proberen,6
looping,doen,1
hij,doen,1468
het,lukken,416
iets,weten,107
klein,vliegtuig,19
stoel,hebben,211
dat,veranderen,47
je,veranderen,49
ze,komen,2170
ze,springen,573
je,springen,195
kwispelstaartje,hebben,1
lief,kwispelstaartje,1
lief,tonge,1
ze,maken,1893
big,zien,2
gei,zien,1
niemand,gaan,43
klomp,gaan,1
puzzeltocht,gaan,1
botsing,hebben,4
je,rijden,277
ik,mogen,1321
ze,slaan,788
alles,doen,595
jij,mishandeld,4
je,slaan,186
afkorting,vinden,64
je,snap,33
ik,laten,743
ze,laten,1357
W8,wachten,33
Bdlje,bedoelen,1
wat,schrijf,20
ik,schrijf,531
ik,hopen,1898
we,laten,363
je,letten,232
wij,zien,83
professor,zien,10
we,zien,991
eiertruc,zien,1
je,breken,41
ei,breken,1
professor,zeggen,11
professor,pakken,3
ei,pakken,12
kind,krijgen,565
mobieltje,krijgen,103
ze,kijken,595
lucht,gebruiken,1
fris,lucht,420
ze,snuffelen,78
ze,likken,199
ze,waken,26
hobby,hebben,165
hobby,dansen,62
beetje,houden,7
veel,houden,480
wat,afvallen,3
ik,tekenen,143
hobby,tekenen,34
het,schrijven,739
je,zingen,39
