,freq,lemma1,lemma2
239,1,kano',groot
240,1,l'en,doen
241,1,m&m's,aten
242,1,maandpony's,hebben
243,1,omar's,komen
244,1,opa's,uitlaten
245,1,opa's,zeggen
246,1,paarden/pony',mogen
247,1,paarden/pony',reisding
248,1,panda's-neushoorns,olifant
249,1,pk's,voelen
250,1,politie-auto's,gaan
251,1,pony',zijn
252,1,priv'e,koop
253,1,ps2'en,gaan
254,2,puppy',vinden
255,1,puppy's,aaien
256,2,puppy's,hebben
257,5,puppy's,krijgen
258,2,puppy's,noemen
259,3,puppy's,vinden
260,1,puppy't,schattig
261,1,puppy'tje,plassen
262,1,s'middag,gaan
263,1,scout:''mijn,zeggen
264,1,sms',doen
265,1,sms',houden
266,2,sms',kosten
267,1,sms',laten
268,1,sms',lezen
269,1,sms',schrijven
270,7,sms',sturen
271,1,sms',tikken
272,1,sms',verbieden
273,3,sms',versturen
274,1,sms',zorgen
275,1,sms'en,bellen
276,1,sms'en,blijven
277,1,sms'en,duren
278,2,sms'en,duur
279,2,sms'en,gaan
280,1,sms'en,geven
281,4,sms'en,kunnen
282,1,sms'en,leren
283,1,sms'en,maken
284,1,sms'en,makkelijk
285,2,sms'en,moeten
286,1,sms'en,mogen
287,1,sms'en,raken
288,1,sms'en,schrijven
289,2,sms'en,vinden
290,1,sms'en,weten
291,1,sms'en,zeggen
292,1,sms'je,kort
293,2,sms'je,kosten
294,1,sms'je,krijgen
295,1,sms'je,maken
296,1,sms'je,schrijven
297,7,sms'je,sturen
298,1,sms'je,stuur
299,1,sms'je,stuurn
300,1,sms'je,stuurt
301,1,sms'je,terugstuurlen
302,1,sms't,maken
303,1,tackso's,noemen
304,1,tante's,grijpen
305,1,tine's,gaan
306,2,tv',gaan
307,4,tv',hebben
308,1,tv',willen
309,2,tv',zijn
310,2,tv's,hebben
311,1,tv'tjes,hingen
312,1,tv-programma's,kijken
313,1,tv-programma's,zijn
314,1,vv's,aankomen
315,1,wa's,maken
316,1,wc's,doorspoelen
317,1,wc's,doortrekken
318,1,wc's,gebruiken
319,4,wc's,hebben
320,1,wc's,schoonmaken
321,1,wc's,vies
322,2,wc's,zijn
323,2,wc's,zitten
324,1,wii'en,doen
325,4,wii'en,gaan
326,1,wii'en,kijken
327,3,wii'en,leuk
328,1,wii'en,lezen
329,1,wii'en,spelen
330,1,wii'en,vinden
331,1,zó'n,pijn
332,1,!,zien
333,2,"""",gebruiken
334,1,"""",weg
335,1,"""",zeggen
336,1,"""De",doen
337,1,#,blunder
338,1,$,verdienen
339,1,$,zeggen
340,1,$,zien
341,1,%,hebben
342,1,%,zien
343,1,&,adopteren
344,1,&,bed
345,1,&,doen
346,1,&,eten
347,1,&,frituren
348,1,&,hebben
349,2,&,kijken
350,3,&,krijgen
351,1,&,leuk
352,1,&,leven
353,1,&,poeop
354,1,&,snoeren
355,1,&,verwennen
356,3,&,vinden
357,1,&,zijn
358,1,,gooien
359,1,,halen
360,1,,krijgen
361,1,,oproepen
362,1,,springen
363,2,*,krijgen
364,1,*,kwamen
365,1,*,vinden
366,1,+,hebben
367,1,+,leren
368,1,+,noemen
369,1,+,plassen
370,2,+,poepen
371,2,+,spelen
372,1,+,uitlaten
373,1,+,vallen
374,1,+,wachten
375,1,+00000000000000000,zijn
376,1,",",moeten
377,1,",",zijn
378,1,",,",antwoorden
379,1,",,",zeggen
380,1,---------------------------------------------------------------------Ik,zijn
381,1,------------------------------------Met,spelen
382,1,-0,stonde
383,1,-15,jaar
384,1,-2,zijn
385,1,-34,klasse
386,1,-46,keren
387,1,-6,krijgen
388,1,-80.000-,krijgen
389,1,-Baren,vinden
390,1,-Ik,zingen
391,1,-Tv,kijken
392,1,-bal,kijken
393,1,-bof,willen
394,2,-cht,schrijf
395,1,-den,leggen
396,1,-elk,dag
397,1,-hopelijkhet,gaan
398,1,-n,vinden
399,1,-ok-,gaan
400,1,-onder,kaas
401,1,-ploeg,hebben
402,1,-siast,stappen
403,1,-ten,spelen
404,1,-wassen,poetsen
405,1,-xxx-,succes
406,1,..,stijgen
407,1,...,betekenen
408,1,...,horen
409,1,...,komen
410,1,...,vreemd
411,1,....,gaan
412,1,........,zien
413,1,...........,hebben
414,1,.............,bouwen
415,1,.10,Zet
416,1,.=,punt
417,1,.Aandacht,besteden
418,1,.Dat,maken
419,1,.Hij,hebben
420,1,.Ik,denken
421,1,.Je,hebben
422,1,.com,doen
423,1,.h,zeggen
424,1,.nl,weten
425,1,.oké,komen
426,1,.vogel,komen
427,1,/,wachten
428,1,/uw,doen
429,1,/zij,doen
430,1,0,halen
431,1,0,hebben
432,1,0,spelen
433,1,0,vergeten
434,2,0,verliezen
435,1,"0,50",hebben
436,2,0-0,blijven
437,1,0-0,hebben
438,2,0-0,maken
439,1,0-0,spelen
440,1,0-0,staan
441,1,0-1,beginnen
442,3,0-1,scoren
443,6,0-1,staan
444,1,0-1,winnen
445,2,0-1,worden
446,1,0-11,winnen
447,1,0-2,aflopen
448,2,0-2,scoren
449,1,0-2,staan
450,1,0-28,staan
451,2,0-3,winnen
452,1,0-30,uitslag
453,1,0-5,verliezen
454,1,0-8,verliezen
455,1,00.00,afsteken
456,1,00.00,doen
457,1,000,jarig
458,1,000.000.000.000.000,eten
459,1,00000,gebeuren
460,1,"000000,99",brengen
461,1,000000000000000000,zijn
462,1,00000000000000000000001,meeee
463,1,00:00,staan
464,1,01.30,mogen
465,1,02-12-2012,onderweg
466,1,02:45,hebben
467,1,046413,zeggen
468,1,0541,voortzetten
469,1,07:00,vragen
470,1,08.00,verzamelen
471,1,08:45,aanwezig
472,2,1,13
473,2,1,Leg
474,1,1,Maak
475,1,1,Zegt
476,1,1,bedoelen
477,1,1,beer
478,1,1,bestaan
479,1,1,bevatten
480,1,1,brief
481,1,1,buiten
482,1,1,cavia
483,1,1,computeren
484,15,1,dag
485,1,1,dat
486,1,1,dier
487,2,1,doe
488,3,1,doen
489,2,1,dragen
490,7,1,gaan
