pos,freq
ADV,837722
VERB,1127148
DET,612548
NOUN,1144792
CCONJ,518057
PRON,1139537
ADJ,560457
PUNCT,942387
AUX,476978
ADP,673894
NUM,81131
SYM,39522
INTJ,27191
PROPN,225666
SCONJ,179876
X,2118
SPACE,6
