lemma1,lemma2,freq
vliegtuig,niet,7727
niet,en,2791
vliegtuig,hebben,3237
een,piloot,295
piloot,en,165
en,passagier,20
passagier,en,106
kunnen,wel,1103
wel,1.000.000,4
1.000.000,kilo,2
kilo,weg,7
weg,en,1179
een,vogel,10540
vogel,25,2
25,gram,4
gram,veel,2
veel,weinig,115
vinden,tv-kijken,28
tv-kijken,heel,4
heel,leuk,7794
leuk,maar,3432
maar,buiten,913
buiten,spelen,9383
spelen,ook,459
ook,dat,1308
dat,doen,2248
doen,ik,3864
ik,dan,1440
dan,met,607
met,Isa,17
Isa,mijn,3
mijn,vriendin,1213
vriendin,zelf,2
zelf,speel,44
speel,ik,2139
ik,eigenlijk,164
eigenlijk,bijna,18
bijna,altijd,270
altijd,binnen,66
binnen,dan,180
dan,doen,1644
Isa,een,2
een,zelfverzonnen,3
zelfverzonnen,spel,3
spel,of,32
of,gaan,250
ik,tv-kijken,63
tv-kijken,maar,29
maar,we,1121
we,spelen,407
ook,heel,3546
heel,vaak,1383
vaak,met,755
met,Pip,6
Pip,dat,2
zijn,het,18179
het,hond,117
hond,van,398
van,Isa,14
Isa,dat,5
ik,heel,2047
leuk,soms,181
soms,spring,2
spring,ik,34
ik,ook,4163
ook,weleens,140
weleens,op,30
de,trampoline,790
trampoline,bij,2
bij,ons,820
ons,in,233
de,achtertuin,100
achtertuin,de,2
de,avond,1408
avond,speel,8
op,het,5133
het,veld,482
veld,want,7
want,we,702
we,wonen,41
wonen,bij,75
bij,een,1983
een,veld,77
veld,die,2
die,liggen,63
liggen,vlak,3
vlak,voor,51
voor,ons,453
ons,ik,38
ik,schommel,11
schommel,ook,4
de,schommel,223
schommel,of,27
of,in,672
de,hangmat,14
hangmat,of,2
of,ik,1244
ik,lezen,202
lezen,een,51
een,boek,575
boek,in,31
of,op,885
de,bank,1063
bank,dat,11
zijn,ook,11911
ook,superfijn,1
superfijn,ik,3
ik,speel,3629
speel,ook,439
ook,vaak,690
vaak,op,545
op,mijn,2773
mijn,kamer,1100
kamer,dus,7
dus,ik,4015
zijn,eigenlijk,538
eigenlijk,een,160
een,binnen-,17
binnen-,buitenkind,1
buitenkind,ik,4
vinden,beide,7
beide,goed,7
ik,gaan,12964
gaan,je,2196
je,wat,776
wat,tip,120
tip,geven,88
geven,over,51
over,schrijven,34
schrijven,Tip,47
Tip,1,56
1,=,9
=,voordat,1
voordat,je,117
je,beginnen,155
beginnen,met,534
met,schrijven,88
schrijven,denken,12
denken,erover,5
erover,na,17
na,Tip,3
Tip,2,57
2,=,10
=,doen,2
doen,de,1421
de,titel,47
titel,als,6
als,laat,211
laat,Tip,1
Tip,3,52
3,=,5
=,denken,2
denken,om,15
om,het,952
het,alfabet,31
alfabet,Tip,1
Tip,4,34
4,=,6
=,als,4
als,je,17662
je,schrijven,319
om,hoofdletter,2
hoofdletter,en,216
en,punt,105
punt,uitroepteken,9
uitroepteken,en,21
en,vraagteken,29
zijn,miljarde,1
miljarde,soort,1
soort,dier,130
dier,je,135
je,hebben,3946
hebben,veel,1268
veel,soort,595
soort,kat,4
kat,hond,29
hond,dolfijn,3
dolfijn,zoogdier,1
zoogdier,vis,2
vis,vogel,2
vogel,eend,5
eend,landdiear,1
landdiear,springdieren,1
springdieren,enzovoort,1
enzovoort,enzovoort,43
enzovoort,zo,9
zo,zien,168
zien,je,1026
je,dat,1983
dat,er,2763
er,heel,1023
heel,veel,7634
soort,zijn,62
zijn,sommig,119
sommig,dier,1021
dier,leven,224
de,zee,662
zee,ander,1
ander,op,47
het,land,406
land,en,490
en,er,3809
er,leven,53
leven,ook,118
ook,dier,236
dier,in,2651
de,lucht,892
lucht,er,15
nog,veel,4232
veel,veel,3788
veel,plek,67
plek,om,77
om,te,5660
te,leven,401
leven,voor,24
voor,dier,383
dier,niet,840
niet,al,399
al,dier,590
in,al,215
al,land,67
land,sommig,5
leven,maar,322
maar,in,1373
in,één,273
één,land,4
land,ander,3
ander,in,61
in,veel,106
veel,dan,639
dan,één,65
één,twee,117
twee,drie,90
drie,de,46
de,veel,1541
veel,mens,1529
mens,hebben,400
hebben,wel,886
wel,één,197
één,of,145
of,veel,132
veel,lievelingsdier/dieren,1
lievelingsdier/dieren,ik,1
ik,hebben,18037
hebben,er,2125
er,bijvoorbeeld,88
bijvoorbeeld,veel,20
één,het,58
zijn,er,8368
veel,dus,222
dus,daarom,591
daarom,gaan,208
ik,ze,746
ze,nu,161
nu,niet,297
niet,opnoemen,8
opnoemen,of,1
of,opschrijven,2
niet,zielig,1135
zielig,voor,1335
de,dier,12165
dier,want,521
want,het,2614
zijn,leuk,5389
leuk,om,6335
om,naar,1131
naar,te,207
te,uitkijken,53
uitkijken,maar,25
maar,dan,2339
dan,mogen,942
mogen,ze,651
ze,een,2859
een,dier,1032
dier,maar,683
een,aantal,109
aantal,jaar,6
jaar,houden,6
houden,dan,64
dan,moeten,3565
moeten,ze,2736
ze,weer,748
weer,een,684
een,ander,2397
ander,dier,743
dier,zoeken,18
zoeken,ik,110
dier,het,1260
zo,erg,575
erg,vinden,190
vinden,als,608
als,ze,9856
ze,maar,817
maar,eten,61
eten,krijgen,1199
krijgen,of,115
of,als,945
ze,schoon,12
schoon,hokk,10
hokk,hebben,99
ze,hebben,6816
hebben,geen,2726
geen,gelijk,557
gelijk,want,325
we,krijgen,548
krijgen,heel,118
veel,taalles,3
taalles,en,2
en,spellingless,5
spellingless,veel,1
dan,dat,356
dat,je,6940
je,typen,85
typen,maar,149
maar,als,4559
je,echt,291
echt,super,175
super,veel,103
veel,smstaal,9
smstaal,gebruiken,63
gebruiken,dan,105
dan,zijn,5469
zo,goed,983
goed,dus,183
dus,je,535
moeten,smstaal,2
smstaal,een,3
een,beetje,3893
beetje,beperken,1
beperken,want,1
want,anders,834
anders,verleer,3
verleer,je,21
je,gewoon,749
gewoon,schrijven,146
schrijven,dat,238
niet,goed,3674
goed,want,703
want,je,2996
hebben,schrijven,63
schrijven,je,151
je,heel,959
heel,leven,158
leven,nodig,18
nodig,maar,137
maar,het,5360
zijn,de,7090
de,keuze,15
keuze,van,6
van,het,2636
het,kind,803
kind,zelf,189
zelf,als,29
ze,smstaal,13
smstaal,willen,3
willen,gebruiken,14
gebruiken,doen,7
doen,ze,1646
ze,dat,1527
dat,maar,160
maar,maar,118
ze,laat,86
laat,niet,46
niet,veel,5020
veel,kunnen,397
kunnen,spel,51
spel,en,299
en,schrijven,229
schrijven,zijn,182
zijn,dat,5177
dat,hun,193
hun,eigen,565
eigen,schuld,75
het,ongeluk,9
ongeluk,gebeuren,73
gebeuren,in,50
in,het,13795
het,dorp,277
dorp,Twijzel,2
Twijzel,het,1
het,zullen,394
zullen,enkel,1
enkel,kear,1
kear,zeggen,1
zeggen,zijn,386
zijn,door,184
door,de,2449
de,luidspreker,8
luidspreker,niet,1
de,dug-out,18
dug-out,maar,2
maar,toch,623
toch,gebeuren,14
gebeuren,dat,132
dat,en,199
en,gaan,3907
gaan,het,2506
het,fout,182
fout,21,1
21,mei,6
mei,op,9
op,sportpark,2
sportpark,De,2
De,Moune,2
Moune,rond,1
rond,15.30,2
15.30,uur,4
uur,zijn,309
dug-out,inzakken,1
inzakken,vijf,1
vijf,kind,19
kind,raken,23
raken,gewond,11
gewond,één,2
één,meisje,26
meisje,overlijden,1
overlijden,een,5
een,tijd,501
tijd,laat,37
laat,aan,19
aan,haar,217
haar,verwonding,3
verwonding,en,1
en,het,8852
het,ander,223
ander,meisje,70
meisje,liggen,8
liggen,gisteravond,1
gisteravond,nog,2
nog,in,471
het,ziekenhuis,522
ziekenhuis,de,24
de,kind,4081
kind,zitten,200
zitten,in,2348
in,groep,3510
groep,6,333
6,de,19
de,ander,3618
ander,zijn,202
zijn,lichtgewond,1
lichtgewond,het,1
het,gebeuren,170
gebeuren,onder,1
onder,de,994
de,voorronde,4
voorronde,van,1
het,jaarlijks,2
jaarlijks,Fries,1
Fries,kampioenschap,1
kampioenschap,schoolkorfbal,1
schoolkorfbal,de,1
de,betrekken,1
betrekken,zijn,3
zijn,opvangen,1
opvangen,in,5
het,dorpshuis,2
dorpshuis,ook,1
ook,zijn,652
er,een,4836
een,speciaal,192
speciaal,informatienummer,1
informatienummer,openen,1
openen,de,26
de,politie,1684
politie,doen,6
doen,onderzoek,1
onderzoek,naar,10
naar,het,5907
het,instorten,1
instorten,van,1
hond,blaffen,405
blaffen,en,575
zijn,waakhond,16
waakhond,blindengeleidenhond,1
blindengeleidenhond,je,1
je,kunnen,14025
kunnen,ze,4647
ze,ook,2324
ook,als,552
als,huisdier,276
huisdier,hebben,101
hebben,blindengeleidehonden,1
blindengeleidehonden,helpen,2
helpen,blind,11
blind,mens,70
mens,Honden,18
Honden,zijn,1176
zijn,soms,732
soms,druk,11
druk,en,149
en,soms,2219
soms,niet,442
goed,dat,773
dat,dier,1131
in,hokk,501
hokk,en,246
en,kooi,12
kooi,stoppen,69
stoppen,worden,13
worden,want,481
want,dier,391
dier,moeten,959
moeten,vrij,182
vrij,zijn,427
zijn,en,9436
en,jagen,44
jagen,want,16
anders,als,66
weer,terug,955
terug,mogen,14
mogen,dan,191
dan,weten,722
weten,ze,581
ze,niet,3576
veel,hoe,97
hoe,dat,181
dat,moeten,781
moeten,en,309
en,dan,16283
dan,zitten,463
zitten,ze,753
de,probleem,56
probleem,dan,13
dan,kunnen,7601
ze,geen,909
geen,voedsel,28
voedsel,veel,3
veel,krijgen,30
krijgen,en,1997
dan,gaan,7285
gaan,ze,4243
ze,dood,315
dood,aan,47
aan,verhongeren,1
verhongeren,of,5
of,zoiets,153
zoiets,ook,1
ook,weten,65
weten,dier,2
hoe,ze,1198
ze,moeten,4490
moeten,leven,251
leven,op,65
de,savanne/noord/zuidpool/jungle,1
savanne/noord/zuidpool/jungle,dan,1
dan,worden,1713
worden,ze,2168
ze,doden,7
doden,of,4
of,verwonden,3
verwonden,dieren,1
dieren,hebben,108
hebben,ook,5091
ook,ruimte,11
ruimte,nodig,90
nodig,en,547
en,moeten,587
moeten,goed,359
goed,de,247
de,ruimte,278
nodig,hebben,824
hebben,om,414
om,ding,92
ding,te,286
te,leren,410
leren,of,59
op,te,1045
te,opgroeien,4
opgroeien,ook,1
ook,vinden,181
het,zielig,1943
voor,ze,556
in,zo'n,227
zo'n,klein,115
hok,dat,47
ik,ik,770
ik,zitten,4334
zitten,op,2005
op,paardrijden,150
paardrijden,maar,26
maar,de,3362
de,paard,310
paard,mogen,10
mogen,ook,637
vaak,in,328
de,wei,156
wei,voor,2
ruimte,mijn,1
mijn,mening,1399
mening,zijn,368
zijn,laten,66
laten,de,287
dier,met,139
met,rust,110
Alex,zijn,13
een,zeventienjarig,1
zeventienjarig,jongen,2
jongen,hij,125
hebben,net,159
net,zijn,55
zijn,brommerexam,2
brommerexam,halen,2
halen,Alex,1
Alex,zitten,1
op,zijn,1500
