,lemma,pos,freq
108,"('boer', 'komen')","('nsubj', 'ROOT')",10
109,"('boer', 'zeggen')","('nsubj', 'ROOT')",7
110,"('stuk', 'rijden')","('obj', 'ROOT')",10
111,"('voet', 'zet')","('obj', 'ROOT')",3
112,"('gas', 'gaan')","('obj', 'ROOT')",1
113,"('vol', 'gas')","('amod', 'obj')",2
114,"('boer', 'overeenkomen')","('nsubj', 'ROOT')",1
115,"('jongen', 'zien')","('obj', 'ROOT')",47
116,"('vol', 'gas')","('amod', 'obl')",1
117,"('boer', 'rent')","('nsubj', 'ROOT')",1
118,"('ernaartoe', 'rent')","('obj', 'ROOT')",1
119,"('jongen', 'zien')","('obj', 'conj')",19
120,"('jongen', 'staan')","('nsubj', 'ROOT')",26
121,"('gezicht', 'zitten')","('nsubj', 'conj')",1
122,"('hond', 'vinden')","('obj', 'ROOT')",3491
123,"('hond', 'bijten')","('nsubj', 'ccomp')",11
124,"('hond', 'zien')","('obj', 'conj')",65
125,"('zijn', 'zien')","('cop', 'conj')",29
126,"('ananas', 'leggen')","('obj', 'ROOT')",41
127,"('kaas', 'Leg')","('obj', 'ROOT')",11
128,"('boter', 'doe')","('obj', 'ROOT')",80
129,"('Erna', 'smelten')","('nsubj', 'ROOT')",1
130,"('boter', 'smelten')","('obj', 'ROOT')",2
131,"('deksel', 'Leg')","('obj', 'ROOT')",41
132,"('brood', 'klaar')","('nsubj', 'xcomp')",1
133,"('zijn', 'klaar')","('cop', 'xcomp')",98
134,"('kinder', 'pakken')","('nsubj', 'conj')",1
135,"('zijn', 'verhaal')","('cop', 'ROOT')",1016
136,"('dierentuin', 'leuk')","('nsubj', 'ROOT')",84
137,"('zijn', 'leuk')","('cop', 'ROOT')",12578
138,"('zijn', 'overdreven')","('cop', 'conj')",15
139,"('klein', 'hokk')","('amod', 'conj')",14
140,"('hokk', 'zijn')","('nsubj', 'conj')",3
141,"('klein', 'hokk')","('amod', 'nsubj')",14
142,"('zijn', 'superklein')","('cop', 'conj')",4
143,"('hokk', 'superklein')","('nsubj', 'conj')",2
144,"('zijn', 'zielig')","('cop', 'conj')",500
145,"('zijn', 'zielig')","('cop', 'ROOT')",1518
146,"('sneeuw', 'liggen')","('nsubj', 'ROOT')",41
147,"('sneeuwpop', 'maken')","('obj', 'conj')",35
148,"('bloemet', 'bloeien')","('obj', 'ROOT')",1
149,"('mooi', 'bloemet')","('amod', 'obj')",1
150,"('jong', 'dier')","('amod', 'nsubj:pass')",12
151,"('zijn', 'bloedheet')","('cop', 'ROOT')",6
152,"('plas', 'liggen')","('nsubj', 'ROOT')",20
153,"('Wim', 'vallen')","('nsubj', 'ROOT')",46
154,"('Wim', 'zeggen')","('nsubj', 'ROOT')",272
155,"('scheur', 'hebben')","('obj', 'ROOT')",62
156,"('zijn', 'nat')","('cop', 'conj')",113
157,"('schoen', 'nat')","('nsubj', 'conj')",13
158,"('Wim', 'fietsen')","('nsubj', 'ROOT')",156
159,"('schoen', 'drogen')","('obj', 'ROOT')",2
160,"('Wim', 'hebben')","('nsubj', 'ROOT')",62
161,"('bloed', 'hebben')","('obj', 'ROOT')",60
162,"('zijn', 'blij')","('cop', 'ROOT')",1936
163,"('knuffel', 'speel')","('obj', 'ROOT')",2
164,"('kassaa', 'speel')","('obj', 'ROOT')",1
165,"('veel', 'speel')","('obj', 'ROOT')",27
166,"('konijn', 'speel')","('obj', 'ROOT')",1
167,"('hut', 'bouwen')","('obj', 'xcomp')",30
168,"('tijger', 'hebben')","('obj', 'ROOT')",14
169,"('boot', 'varen')","('obj', 'ROOT')",1
170,"('Gamen', 'leuk')","('nsubj', 'ROOT')",34
171,"('mens', 'verbieden')","('nsubj', 'ROOT')",1
172,"('heel', 'dag')","('amod', 'obl')",1369
173,"('tijd', 'doen')","('obj', 'conj')",11
174,"('heel', 'tijd')","('amod', 'obj')",408
175,"('worden', 'saai')","('cop', 'conj')",5
176,"('zijn', 'gamen')","('cop', 'ROOT')",55
177,"('ge', 'bakken')","('nsubj', 'ROOT')",1
178,"('brood', 'bakken')","('obj', 'ROOT')",5
179,"('zijn', 'gaan')","('cop', 'ROOT')",193
180,"('zijn', 'eens')","('cop', 'ROOT')",3025
181,"('zijn', 'belangrijk')","('cop', 'ccomp')",95
182,"('vreemd', 'ding')","('amod', 'obl')",4
183,"('zijn', 'wel/niet')","('cop', 'ROOT')",1
184,"('ander', 'kant')","('amod', 'obl')",908
185,"('allerliefst', 'tante')","('amod', 'obl')",1
186,"('tante', 'lief')","('nsubj', 'ROOT')",2
187,"('zijn', 'lief')","('cop', 'ROOT')",2244
188,"('allerliefst', 'tante')","('amod', 'nsubj')",1
189,"('chocola', 'krijgen')","('obj', 'conj')",1
190,"('zijn', 'saai')","('cop', 'ROOT')",550
191,"('zeilboot', 'kopen')","('obj', 'ROOT')",1
192,"('vin', 'komen')","('nsubj', 'ROOT')",1
193,"('groot', 'vin')","('amod', 'nsubj')",1
194,"('groot', 'kop')","('amod', 'conj')",1
195,"('boot', 'vliegen')","('nsubj', 'ROOT')",1
196,"('warm', 'dag')","('amod', 'ROOT')",12
197,"('zijn', 'vriend')","('cop', 'ROOT')",276
198,"('goed', 'vriend')","('amod', 'ROOT')",138
199,"('€', 'verdienen')","('obj', 'xcomp')",1
200,"('goed', 'vakantie')","('amod', 'ROOT')",5
201,"('kamer', 'trekken')","('obj', 'xcomp')",1
202,"('cadeaut', 'zoeken')","('obj', 'ROOT')",2
203,"('chips', 'trakteren')","('obj', 'conj')",1
204,"('mens', 'zijn')","('nsubj', 'conj')",97
205,"('groot', 'mens')","('amod', 'nsubj')",76
206,"('zijn', 'onverwachts')","('cop', 'ROOT')",2
207,"('cadeaut', 'krijgen')","('obj', 'ROOT')",153
208,"('buur', 'komen')","('nsubj', 'ROOT')",6
209,"('druk', 'dag')","('amod', 'obl')",5
210,"('kinderfees', 'hebben')","('obj', 'ROOT')",11
211,"('cadeaut', 'krijgen')","('obj', 'conj')",63
212,"('piet', 'komen')","('nsubj', 'ROOT')",30
213,"('zwart', 'piet')","('amod', 'nsubj')",44
214,"('stoer', 'piet')","('amod', 'ROOT')",1
215,"('kind', 'spelen')","('nsubj', 'ccomp')",814
216,"('buitenspelen', 'gezond')","('nsubj', 'conj')",5
217,"('zijn', 'gezond')","('cop', 'conj')",636
218,"('zijn', 'gezond')","('cop', 'ROOT')",1441
219,"('Buitenspelen', 'gezond')","('nsubj', 'ROOT')",26
220,"('tikker', 'doen')","('obj', 'xcomp')",35
221,"('Kind', 'spelen')","('nsubj', 'ROOT')",92
222,"('politie', 'zijn')","('nsubj', 'conj')",10
223,"('politie', 'gaan')","('nsubj', 'conj')",10
224,"('vriend', 'roepen')","('obj', 'conj')",2
225,"('hond', 'beginnen')","('nsubj', 'conj')",2
226,"('zijn', 'bureau')","('cop', 'conj')",1
227,"('vuur', 'zien')","('obj', 'conj')",6
228,"('Marjolein', 'gaan')","('nsubj', 'ROOT')",2
229,"('Marjolein', 'vragen')","('nsubj', 'ROOT')",3
230,"('mama', 'zeggen')","('nsubj', 'ROOT')",336
231,"('familie', 'komen')","('nsubj', 'ROOT')",52
232,"('Marjolein', 'ren')","('nsubj', 'ROOT')",1
233,"('jongen', 'gaan')","('nsubj', 'ROOT')",92
234,"('meid', 'gaan')","('nsubj', 'ROOT')",21
235,"('ander', 'auto')","('amod', 'obl')",9
236,"('laat', 'uur')","('amod', 'nmod')",1
237,"('ja', 'zeggen')","('nsubj', 'ROOT')",47
238,"('beetje', 'zien')","('obj', 'ROOT')",4
239,"('klein', 'beetje')","('amod', 'obj')",55
240,"('boek', 'halen')","('obj', 'conj')",2
241,"('zijn', 'vol')","('cop', 'ROOT')",22
242,"('boek', 'vol')","('nsubj', 'ROOT')",1
243,"('zijn', 'superreis')","('cop', 'ROOT')",1
244,"('zijn', 'handig')","('cop', 'ROOT')",1323
245,"('zijn', 'iets')","('cop', 'conj')",23
246,"('ander', 'bellen')","('obj', 'conj')",1
247,"('zijn', 'jong')","('cop', 'ROOT')",601
248,"('restaurant', 'hebben')","('obj', 'xcomp')",1
249,"('eigen', 'restaurant')","('amod', 'obj')",4
250,"('muziek', 'vinden')","('obj', 'ROOT')",21
251,"('kind', 'korten')","('nsubj', 'ROOT')",2
252,"('ding', 'korten')","('obj', 'ROOT')",1
253,"('afkorting', 'leren')","('obj', 'conj')",26
254,"('zijn', 'afkorting')","('cop', 'ROOT')",145
255,"('ander', 'afkorting')","('amod', 'ROOT')",2
256,"('woord', 'typen')","('obj', 'xcomp')",25
257,"('lang', 'woord')","('amod', 'obj')",81
258,"('zijn', 'fijn')","('cop', 'conj')",311
259,"('eigen', 'keuze')","('amod', 'punct')",1
260,"('fout', 'doen')","('obj', 'ccomp')",14
261,"('mens', 'zitten')","('nsubj', 'ROOT')",386
262,"('vogel', 'poepen')","('nsubj', 'ROOT')",424
263,"('mogen', 'uur')","('cop', 'ROOT')",2
264,"('uur', 'doen')","('obj', 'ROOT')",16
265,"('kant', 'zijn')","('nsubj', 'ROOT')",11
266,"('ander', 'kant')","('amod', 'nsubj')",27
267,"('gamen', 'maken')","('nsubj', 'ROOT')",1
268,"('reactiesnelheid', 'maken')","('obj', 'ROOT')",1
269,"('gedrag', 'verkleinen')","('obj', 'ROOT')",1
270,"('sociaal', 'gedrag')","('amod', 'obj')",2
271,"('gamen', 'redden')","('nsubj', 'conj')",1
272,"('zijn', 'redden')","('cop', 'conj')",1
273,"('multiplayer', 'hebben')","('obj', 'ROOT')",1
274,"('minigame', 'hebben')","('obj', 'ROOT')",1
275,"('leven', 'hebben')","('obj', 'ROOT')",329
276,"('ander', 'ding')","('amod', 'conj')",434
277,"('game', 'redden')","('nsubj', 'xcomp')",1
278,"('pony', 'voeren')","('obj', 'xcomp')",1
279,"('pony', 'vinden')","('nsubj', 'ROOT')",2
280,"('filmp', 'maken')","('obj', 'ROOT')",23
281,"('filmp', 'stopten')","('obj', 'ROOT')",1
282,"('ander', 'groep')","('amod', 'obl')",37
283,"('ander', 'verhaal')","('amod', 'ROOT')",35
284,"('keer', 'lezen')","('obj', 'ROOT')",6
285,"('lente', 'doen')","('nsubj', 'ROOT')",1
286,"('ding', 'doen')","('obj', 'ROOT')",1007
287,"('paashaas', 'komen')","('nsubj', 'conj')",4
288,"('paaseier', 'zoeken')","('obj', 'conj')",6
289,"('leuk', 'ding')","('amod', 'obj')",899
290,"('ding', 'doen')","('obj', 'conj')",495
291,"('ander', 'ding')","('amod', 'obj')",388
292,"('dompsie', 'zeggen')","('nsubj', 'ROOT')",2
293,"('o', 'aah')","('nsubj', 'ROOT')",1
294,"('geheim', 'man')","('amod', 'ROOT')",4
295,"('dompsie', 'vinden')","('nsubj', 'ROOT')",1
296,"('opblaasboo', 'vinden')","('obj', 'ROOT')",1
297,"('zijn', 'fijn')","('cop', 'ROOT')",776
298,"('geheim', 'man')","('amod', 'nsubj')",1
299,"('helikopter', 'regelen')","('obj', 'ROOT')",1
300,"('zijn', 'helikopter')","('cop', 'ROOT')",5
301,"('dier', 'hebben')","('nsubj', 'ROOT')",551
302,"('ruimte', 'hebben')","('obj', 'ROOT')",311
303,"('vogelgriep', 'komen')","('nsubj', 'ROOT')",1
304,"('zijn', 'besmettelijk')","('cop', 'ccomp')",2
305,"('vogel', 'worden')","('nsubj', 'ccomp')",1
306,"('zijn', 'vraag')","('cop', 'ROOT')",107
307,"('zijn', 'sluiten')","('cop', 'conj')",2
308,"('zijn', 'kunst')","('cop', 'ROOT')",12
309,"('leuk', 'kunst')","('amod', 'ROOT')",4
310,"('aardig', 'baas')","('amod', 'advcl')",1
311,"('circus', 'leuk')","('nsubj', 'conj')",7
312,"('circus', 'leuk')","('nsubj', 'ccomp')",3
313,"('professioneel', 'circus')","('amod', 'nsubj')",1
314,"('dier', 'vinden')","('nsubj', 'ROOT')",400
315,"('kooi', 'hebben')","('obj', 'conj')",39
316,"('luxe', 'kooi')","('amod', 'obj')",1
317,"('hok', 'hebben')","('obj', 'ccomp')",93
318,"('fijn', 'hok')","('amod', 'obj')",161
319,"('geld', 'geven')","('obj', 'conj')",69
320,"('goed', 'doel')","('amod', 'obl')",96
321,"('geld', 'overhouden')","('obj', 'conj')",1
322,"('muziek', 'draaien')","('obj', 'ccomp')",2
323,"('zijn', 'beroemd')","('cop', 'conj')",18
324,"('vriend', 'maken')","('obj', 'ROOT')",231
325,"('zijn', 'vertrouwen')","('cop', 'ccomp')",1
326,"('zijn', 'betrouwbaar')","('cop', 'ccomp')",3
327,"('oog', 'krijgen')","('obj', 'ROOT')",94
328,"('nagel', 'lakken')","('obj', 'ROOT')",7
329,"('nagel', 'hand')","('obj', 'ROOT')",1
330,"('beautykiste', 'hebben')","('obj', 'ROOT')",1
331,"('wat', 'zitten')","('nsubj', 'ROOT')",1
332,"('zomerkleurt', 'zitten')","('nsubj', 'ROOT')",1
333,"('klein', 'beautykist')","('amod', 'obl')",1
334,"('groot', 'kleur')","('amod', 'conj')",1
335,"('donker', 'kleur')","('amod', 'conj')",3
336,"('kleur', 'willen')","('nsubj', 'ROOT')",1
337,"('licht', 'kleur')","('amod', 'nsubj')",1
338,"('donker', 'kleur')","('amod', 'obl')",2
339,"('boyes', 'groeien')","('nsubj', 'ROOT')",1
340,"('dag', 'worden')","('nsubj', 'ROOT')",10
341,"('Pasen', 'zoeken')","('nsubj', 'xcomp')",1
342,"('mooi', 'weer')","('amod', 'amod')",1
343,"('Schilderen', 'doen')","('obj', 'ROOT')",2
344,"('Jezus', 'opgestaan')","('nsubj', 'ROOT')",6
345,"('Jezus', 'maken')","('nsubj', 'ROOT')",5
346,"('me.', 'verveelen')","('obj', 'ROOT')",3
347,"('krant', 'lezen')","('obj', 'ROOT')",6
348,"('zijn', 'waar')","('cop', 'conj')",92
349,"('zin', 'hebben')","('obj', 'ROOT')",1065
350,"('meneer', 'staan')","('nsubj', 'ROOT')",8
351,"('meneer', 'groet')","('nsubj', 'ROOT')",1
352,"('zijn', 'klaar')","('cop', 'ROOT')",1128
353,"('verhaal', 'vertellen')","('obj', 'ROOT')",147
354,"('vogel', 'eten')","('nsubj', 'ROOT')",995
355,"('vliegtuig', 'hebben')","('nsubj', 'ROOT')",2375
356,"('motor', 'hebben')","('obj', 'ROOT')",552
357,"('vogel', 'veren')","('nsubj', 'ROOT')",69
358,"('raamp', 'hebben')","('obj', 'ROOT')",40
359,"('vogel', 'leggen')","('nsubj', 'ROOT')",353
360,"('eit', 'leggen')","('obj', 'ROOT')",69
361,"('klein', 'komen')","('nsubj', 'conj')",1
362,"('vliegtuig', 'leggen')","('nsubj', 'conj')",13
363,"('eit', 'leggen')","('obj', 'conj')",20
364,"('vliegtuig', 'komen')","('nsubj', 'ROOT')",30
365,"('verschillen', 'zijn')","('nsubj', 'ROOT')",30
366,"('hobby', 'paardrijden')","('nsubj', 'ROOT')",54
367,"('zijn', 'paardrijden')","('cop', 'ROOT')",64
368,"('paardrijden', 'kunnen')","('obj', 'ROOT')",5
369,"('wedstrijd', 'rijden')","('obj', 'xcomp')",8
370,"('keuze', 'Viola')","('nsubj', 'ROOT')",1
371,"('zijn', 'Viola')","('cop', 'ROOT')",1
372,"('twee', 'keuze')","('amod', 'nsubj')",1
373,"('één', 'keuze')","('amod', 'nsubj')",1
374,"('paard', 'kennen')","('obj', 'conj')",2
375,"('Cesar', 'pony')","('nsubj', 'ROOT')",2
376,"('zijn', 'pony')","('cop', 'ROOT')",52
377,"('veulen', 'paard')","('nsubj', 'ROOT')",1
378,"('zijn', 'paard')","('cop', 'ROOT')",79
379,"('vogel', 'bewegen')","('nsubj', 'ROOT')",145
380,"('vliegtuig', 'bewegen')","('obj', 'ROOT')",33
381,"('vogel', 'hebben')","('obj', 'ROOT')",242
382,"('vliegtuig', 'groot')","('nsubj', 'ROOT')",370
383,"('zijn', 'groot')","('cop', 'ROOT')",1526
384,"('landingsgestel', 'hebben')","('obj', 'ROOT')",6
385,"('vogel', 'poten')","('obj', 'conj')",8
386,"('vliegtuig', 'veren')","('nsubj', 'ROOT')",2
387,"('vogel', 'veren')","('obj', 'ROOT')",3
388,"('vogel', 'hebben')","('nsubj', 'ROOT')",1703
389,"('snavel', 'hebben')","('obj', 'ROOT')",410
390,"('nest', 'hebben')","('obj', 'ROOT')",72
391,"('oog', 'hebben')","('obj', 'ROOT')",353
392,"('propeller', 'hebben')","('obj', 'ROOT')",49
393,"('vogel', 'staan')","('nsubj', 'ROOT')",47
394,"('vogel', 'zitten')","('nsubj', 'xcomp')",2
395,"('zijn', 'architect')","('cop', 'ROOT')",4
396,"('groot', 'huis')","('amod', 'obl')",60
397,"('huis', 'maak')","('obj', 'ROOT')",4
398,"('modern', 'huis')","('amod', 'obj')",3
399,"('vrouw', 'hebben')","('obj', 'ROOT')",42
400,"('Landsheez', 'hebben')","('obj', 'conj')",1
401,"('heeeeeeeeeel', 'hond')","('amod', 'conj')",1
402,"('lief', 'hond')","('amod', 'conj')",22
403,"('prachtig', 'uitzicht')","('amod', 'obl')",2
404,"('privéjacht', 'hebben')","('obj', 'conj')",1
405,"('heel', 'privéjacht')","('amod', 'obj')",1
406,"('mooi', 'privéjacht')","('amod', 'obj')",1
407,"('heeeeeeeeeeel', 'hond')","('amod', 'obl')",1
408,"('lief', 'hond')","('amod', 'obl')",18
409,"('vuursalamander', 'hebben')","('obj', 'conj')",1
410,"('zijn', 'mooi')","('cop', 'ROOT')",831
411,"('vogel', 'keken')","('nsubj', 'ROOT')",2
412,"('blauw', 'hemel')","('amod', 'obl')",2
413,"('vliegtuig', 'vliegen')","('nsubj', 'conj')",69
414,"('vliegtuig', 'maken')","('nsubj', 'ROOT')",100
415,"('snelheid', 'maken')","('obj', 'ROOT')",4
416,"('hoog', 'snelheid')","('amod', 'obj')",1
417,"('vogel', 'proberen')","('nsubj', 'ROOT')",4
418,"('looping', 'doen')","('obj', 'conj')",1
