lemma1,lemma2,freq
politie,zijn,47
die,hebben,1870
hond,hebben,4083
politie,gaan,58
vriendin,roep,1
hij,horen,532
hond,beginnen,26
vuren,zien,12
marjolein,gaan,2
marjolein,vroeg,4
mama,zeggen,615
familie,komen,85
marjolein,rennen,1
jongen,gaan,108
meid,gaan,85
ander,auto,24
later,uur,12
mama,zijn,48
ja,zeggen,209
beet,zien,7
klein,beet,249
we,rennen,156
boek,halen,1
we,kunnen,261
handtekening,kunnen,2
ze,bel,1320
ze,verdwalen,150
dat,weet,884
ik,weet,4568
sommigen,bel,2
ander,bel,2
ik,zeg,1013
ik,willen,10088
restaurant,hebben,19
eigen,restaurant,6
het,worden,1517
muziek,vinden,27
kind,korten,3
ding,korten,2
je,leer,1715
afkorting,leer,48
je,gebruik,857
ze,gebruik,663
ander,afkorting,13
woord,type,136
lang,woord,143
eigen,keuze,51
je,kijken,807
wat,doen,3832
jijen,doen,236
fout,doen,170
mens,zit,504
vogel,poep,684
tv,uitzonderen,1
ikzelf,doen,38
uur,doen,26
kanten,zijn,14
gamen,maken,10
reactiesnelheid,maken,1
het,verkleinen,2
je,verkleinen,4
gedrag,verkleinen,1
sociaal,gedrag,2
gamen,redden,1
game,hebben,27
multiplayer,hebben,2
minigame,hebben,1
die,doen,1200
leven,hebben,656
je,oprichten,3
clan,oprichten,2
elkaar,helpen,18
ander,ding,974
game,redden,1
pony,voer,1
we,draven,7
pony,vinden,15
je,wild,60
ik,wild,518
film,maken,55
we,stellen,7
ons,stellen,5
we,zeggen,254
we,stoppen,42
film,stoppen,1
ander,groep,106
die,gaan,1336
ander,verhalen,66
die,lezen,51
u,lezen,8
keren,lezen,8
lente,doen,1
ding,doen,2216
paashaas,komen,31
paasei,zoeken,68
leuk,ding,1192
we,zaten,434
dompsie,zeggen,2
dat,duren,269
we,vlieg,76
ik,leven,119
geheim,man,5
dompsie,vinden,1
opblaasboot,vinden,1
hij,zwemmen,83
hij,aankomen,67
wat,zeggen,796
ik,komen,2337
ik,regelen,12
helikopter,regelen,1
ik,prutsen,2
ze,verzorgen,1240
je,vraag,291
je,weet,3276
dier,hebben,1848
vogelgriep,komen,1
ze,denken,963
vogel,hebben,2632
het,komen,611
vogel,worden,35
we,komen,1379
boerderij,sluiten,1
we,doen,2861
iets,doen,1461
leuk,kunstje,84
aardig,baasje,2
het,uitmaken,223
dier,uitmaken,89
niksen,uitmaken,85
professioneel,circus,1
dat,werken,68
het,weet,1421
dier,verzorgen,647
ze,eten,2560
kooi,hebben,155
luxe,kooi,1
ze,behandelen,525
het,denken,238
fijn,hokken,277
je,geven,897
gelden,geven,273
goed,doelen,109
je,overhouden,4
gelden,overhouden,1
eten,kopen,53
muziek,draaien,12
ze,raken,445
wat,willen,970
vriend,maken,455
die,vertrouwen,10
gamerug,krijgen,1
oog,krijgen,175
ik,lak,4
nagel,lak,23
beautykisten,hebben,1
nagellak,zit,1
en,zit,1
nagelremover,zit,1
watje,zit,1
zomerkleurtjes,zit,1
kleine,beautykist,1
groot,kleur,1
donker,kleur,5
mens,willen,229
kleur,willen,3
lichten,kleur,2
iedereen,meenemen,13
iets,meenemen,21
bloem,groeien,36
boyes,groeien,1
dag,worden,17
pasen,zoeken,3
mooi,weer,559
schilderen,doen,3
jezus,opstaan,23
jezus,maken,5
die,opstaan,10
iedereen,geloven,4
sommigen,geloof,4
ik,verveeld,33
me,verveeld,23
krant,lezen,24
ik,rennen,684
het,beginnen,647
ik,moeten,1320
het,laten,385
het,kunnen,1213
ik,roepen,426
we,rede,153
ik,zeggen,2755
zinnen,hebben,1721
we,stappen,89
meneer,staan,11
meneer,groeten,1
meneer,zeggen,181
ik,huilen,164
ik,vertellen,802
verhalen,vertellen,275
we,lopen,525
ik,houden,1102
ik,spel,1385
ik,drinken,137
vogel,eten,1486
motor,hebben,797
vogel,veer,68
raampje,hebben,53
vogel,leggen,650
eitje,leggen,107
kleine,komen,2
vliegtuig,leggen,163
baby,komen,34
vliegtuigje,komen,1
vliegtuig,maken,369
vliegtuig,besturen,303
verschil,zijn,145
veel,verschil,40
hobby,paardrijden,64
ik,kunnen,1420
paardrijden,kunnen,6
ik,galopperen,11
wedstrijd,rijen,17
twee,keuze,3
één,keuze,1
ik,kennen,684
paard,kennen,4
ik,opnoemen,74
je,zit,791
vogel,bewegen,235
vleugel,bewegen,252
vliegtuig,bewegen,96
brandstof,hebben,48
landingsgestel,hebben,8
vogel,poten,211
vliegtuig,veer,2
snavel,hebben,538
nest,hebben,93
oog,hebben,556
propeller,hebben,65
vogel,staan,56
vogel,zitten,32
groot,huis,248
huizen,maken,37
